model_name,target_name,horizon,split_name,test_start,auc,precision,recall,f1,false_positive_months,brier_score,ece,event_hit_rate,median_timing_months,average_timing_months,flagged_3m_ahead_share,flagged_6m_ahead_share,episode_recall,max_false_alarm_streak,event_hits,n_events
yield_curve_logit,within_12m,12,fixed_1990_holdout,1990-01-01,0.8560883198327672,0.3023255813953488,0.3023255813953488,0.3023255813953488,30,0.11282537879117649,0.0696033002270445,0.75,9.0,9.666666666666666,0.75,0.75,0.75,25,3,4
yield_curve_inversion,within_12m,12,fixed_1990_holdout,1990-01-01,0.8560883198327672,0.3181818181818182,0.32558139534883723,0.3218390804597701,30,,,0.75,9.0,9.666666666666666,0.75,0.75,0.75,25,3,4
hy_credit_logit,current_recession,0,fixed_2007_holdout,2007-01-01,0.9742890995260663,0.9,0.45,0.6,1,0.03958276328221537,0.03236418280309732,0.5,9.0,9.0,0.0,0.0,0.5,1,1,2
sahm_rule,current_recession,0,post_1990_monitoring,1990-01-01,0.9102320675105485,0.3614457831325301,0.8333333333333334,0.504201680672269,53,,,1.0,1.5,1.5,0.0,0.0,1.0,19,4,4
