model_name,target_name,horizon,split_name,test_start,auc,precision,recall,f1,false_positive_months,brier_score,ece,event_hit_rate,median_timing_months,average_timing_months,flagged_3m_ahead_share,flagged_6m_ahead_share,episode_recall,max_false_alarm_streak,event_hits,n_events,threshold
regularized_logit_within_12m,within_12m,12,expanded_dynamic_holdout,2018-01-01,0.5166666666666667,0.0,0.0,0.0,19,0.13313432564411215,0.21494336080911897,0.0,,,0.0,0.0,0.0,11,0,1,0.35
regularized_logit_within_12m,within_12m,12,expanded_dynamic_holdout,2018-01-01,0.5166666666666667,0.0,0.0,0.0,0,0.13313432564411215,0.21494336080911897,0.0,,,0.0,0.0,0.0,0,0,1,0.5
regularized_logit_within_3m,within_3m,3,expanded_dynamic_holdout,2018-01-01,0.5,0.0,0.0,0.0,0,0.029972806678294068,0.0012258090076935207,0.0,,,0.0,0.0,0.0,0,0,1,0.15
regularized_logit_within_3m,within_3m,3,expanded_dynamic_holdout,2018-01-01,0.5,0.0,0.0,0.0,0,0.029972806678294068,0.0012258090076935207,0.0,,,0.0,0.0,0.0,0,0,1,0.25
regularized_logit_within_3m,within_3m,3,expanded_dynamic_holdout,2018-01-01,0.5,0.0,0.0,0.0,0,0.029972806678294068,0.0012258090076935207,0.0,,,0.0,0.0,0.0,0,0,1,0.35
regularized_logit_within_3m,within_3m,3,expanded_dynamic_holdout,2018-01-01,0.5,0.0,0.0,0.0,0,0.029972806678294068,0.0012258090076935207,0.0,,,0.0,0.0,0.0,0,0,1,0.5
regularized_logit_within_6m,within_6m,6,expanded_dynamic_holdout,2018-01-01,0.5128205128205128,0.0,0.0,0.0,0,0.05865654580190471,0.011451070178274141,0.0,,,0.0,0.0,0.0,0,0,1,0.15
regularized_logit_within_6m,within_6m,6,expanded_dynamic_holdout,2018-01-01,0.5128205128205128,0.0,0.0,0.0,0,0.05865654580190471,0.011451070178274141,0.0,,,0.0,0.0,0.0,0,0,1,0.25
regularized_logit_within_6m,within_6m,6,expanded_dynamic_holdout,2018-01-01,0.5128205128205128,0.0,0.0,0.0,0,0.05865654580190471,0.011451070178274141,0.0,,,0.0,0.0,0.0,0,0,1,0.35
regularized_logit_within_6m,within_6m,6,expanded_dynamic_holdout,2018-01-01,0.5128205128205128,0.0,0.0,0.0,0,0.05865654580190471,0.011451070178274141,0.0,,,0.0,0.0,0.0,0,0,1,0.5
