model_name,target_name,horizon,split_name,test_start,auc,precision,recall,f1,false_positive_months,brier_score,ece,event_hit_rate,median_timing_months,average_timing_months,flagged_3m_ahead_share,flagged_6m_ahead_share,episode_recall,max_false_alarm_streak,event_hits,n_events,threshold
hy_credit_logit_realtime,current_recession,0,realtime_expanding,2007-01-01,0.9149289099526067,0.4827586206896552,0.7,0.5714285714285714,15,0.04553852380161083,0.023374035015380164,1.0,2.0,2.0,0.0,0.0,1.0,7,2,2,0.15
hy_credit_logit_realtime,current_recession,0,realtime_expanding,2007-01-01,0.9149289099526067,0.7142857142857143,0.5,0.588235294117647,4,0.04553852380161083,0.023374035015380164,0.5,8.0,8.0,0.0,0.0,0.5,4,1,2,0.25
hy_credit_logit_realtime,current_recession,0,realtime_expanding,2007-01-01,0.9149289099526067,0.75,0.45,0.5625000000000001,3,0.04553852380161083,0.023374035015380164,0.5,9.0,9.0,0.0,0.0,0.5,3,1,2,0.35
hy_credit_logit_realtime,current_recession,0,realtime_expanding,2007-01-01,0.9149289099526067,0.8,0.4,0.5333333333333333,2,0.04553852380161083,0.023374035015380164,0.5,10.0,10.0,0.0,0.0,0.5,2,1,2,0.5
yield_curve_logit_realtime,within_12m,12,realtime_expanding,1990-01-01,0.8661484191272537,0.29457364341085274,0.8837209302325582,0.441860465116279,91,0.10823883194674769,0.07809377626460151,1.0,12.0,10.75,1.0,1.0,1.0,44,4,4,0.15
yield_curve_logit_realtime,within_12m,12,realtime_expanding,1990-01-01,0.8661484191272537,0.3263157894736842,0.7209302325581395,0.4492753623188405,64,0.10823883194674769,0.07809377626460151,1.0,11.5,10.5,1.0,1.0,1.0,29,4,4,0.25
yield_curve_logit_realtime,within_12m,12,realtime_expanding,1990-01-01,0.8661484191272537,0.39705882352941174,0.627906976744186,0.48648648648648646,41,0.10823883194674769,0.07809377626460151,1.0,10.0,9.75,1.0,1.0,1.0,27,4,4,0.35
yield_curve_logit_realtime,within_12m,12,realtime_expanding,1990-01-01,0.8661484191272537,0.37777777777777777,0.3953488372093023,0.38636363636363635,28,0.10823883194674769,0.07809377626460151,0.75,9.0,9.333333333333334,0.75,0.75,0.75,24,3,4,0.5
