model_name,target_name,horizon,split_name,event_mode,episodes,episode_hits,episode_recall,average_timing_months,median_timing_months,flagged_3m_ahead_share,flagged_6m_ahead_share,avg_false_alarm_months_before_episode,max_false_alarm_streak_before_episode,max_score_in_window
ensemble_current_recession,current_recession,0,expanded_holdout,detect,2,2,1.0,4.5,4.5,,,0.0,0,0.9999999963645796
multivariate_logit_current_recession,current_recession,0,expanded_holdout,detect,2,2,1.0,4.5,4.5,,,0.0,0,1.0
multivariate_logit_within_12m,within_12m,12,expanded_holdout,forecast,2,0,0.0,,,0.0,0.0,0.0,0,0.08562264218146007
multivariate_logit_within_3m,within_3m,3,expanded_holdout,forecast,2,0,0.0,,,0.0,0.0,7.0,14,0.003698355324984145
multivariate_logit_within_6m,within_6m,6,expanded_holdout,forecast,2,0,0.0,,,0.0,0.0,0.0,0,1.8962516088979666e-09
regularized_logit_current_recession,current_recession,0,expanded_holdout,detect,2,2,1.0,4.0,4.0,,,0.0,0,0.9999999927291592
regularized_logit_within_12m,within_12m,12,expanded_holdout,forecast,2,0,0.0,,,0.0,0.0,0.0,0,0.2639369478844647
regularized_logit_within_3m,within_3m,3,expanded_holdout,forecast,2,0,0.0,,,0.0,0.0,0.0,0,0.03890431119597755
regularized_logit_within_6m,within_6m,6,expanded_holdout,forecast,2,0,0.0,,,0.0,0.0,0.0,0,0.0946735732907098
